product_category_3,ymd,qty
DEF,20230202,30
DEF,20230207,40
DEF,20230208,28
DEF,20230210,34
DEF,20230213,48
DEF,20230214,43
DEF,20230215,40
DEF,20230222,41
DEF,20230227,51
DEF,20230301,78
DEF,20230302,26
DEF,20230303,49
DEF,20230306,63
DEF,20230307,50
DEF,20230308,49
DEF,20230309,50
DEF,20230314,57
DEF,20230315,38
DEF,20230316,41
DEF,20230320,43
DEF,20230323,31
DEF,20230330,28
DEF,20230331,45
DEF,20230403,50
DEF,20230406,53
DEF,20230410,35
DEF,20230412,33
DEF,20230413,46
DEF,20230425,34
DEF,20230426,70
DEF,20230427,21
DEF,20230508,29
DEF,20230509,38
DEF,20230511,34
DEF,20230522,39
DEF,20230523,32
DEF,20230525,25
DEF,20230529,42
DEF,20230530,42
DEF,20230531,25
DEF,20230605,26
DEF,20230609,29
DEF,20230612,23
DEF,20230614,28
DEF,20230615,35
DEF,20230623,27
DEF,20230627,25
DEF,20230630,24
DEF,20230704,38
DEF,20230706,23
DEF,20230707,37
DEF,20230712,26
DEF,20230714,29
DEF,20230718,33
DEF,20230719,25
DEF,20230720,28
DEF,20230728,26
DEF,20230802,23
DEF,20230822,30
DEF,20230825,27
DEF,20230829,32
DEF,20230904,56
DEF,20230908,23
DEF,20230914,24
DEF,20231006,23
DEF,20231010,24
DEF,20231018,28
DEF,20231019,28
DEF,20231023,21
DEF,20231027,24
DEF,20231113,29
DEF,20231124,23
DEF,20231201,31
DEF,20231204,24
DEF,20231208,29
DEF,20231211,28
DEF,20231214,26
DEF,20231226,32
DEF,20240109,32
DEF,20240110,23
DEF,20240111,21
DEF,20240112,25
DEF,20240115,24
DEF,20240118,24
DEF,20240216,19
DEF,20240219,30
DEF,20240227,25
DEF,20240307,32
DEF,20240319,28
DEF,20240326,19
DEF,20240401,31
DEF,20240408,22
DEF,20240415,27
DEF,20240418,33
DEF,20240424,19
DEF,20240508,34
DEF,20240510,29
DEF,20240527,39
DEF,20240528,37
DEF,20240529,36
DEF,20240530,21
DEF,20240613,23
DEF,20240626,21
DEF,20240627,26
DEF,20240628,19
DEF,20240705,21
DEF,20240719,30
DEF,20240726,30
DEF,20240730,29
DEF,20240801,29
DEF,20240808,23
DEF,20240819,29
DEF,20240826,31
DEF,20240827,22
DEF,20240905,23
DEF,20240910,21
DEF,20240912,30
DEF,20241008,23
DEF,20241011,25
DEF,20241015,41
DEF,20241021,70
DEF,20241022,70
DEF,20241023,67
DEF,20241024,76
DEF,20241029,91
DEF,20241030,91
DEF,20241101,102
DEF,20241106,39
DEF,20241107,29
DEF,20241112,89
DEF,20241113,67
DEF,20241114,54
DEF,20241118,61
DEF,20241119,49
DEF,20241121,39
DEF,20241128,43
DEF,20241129,52
DEF,20241203,53
DEF,20241204,63
DEF,20241205,27
DEF,20241206,49
DEF,20241209,40
DEF,20241210,58
DEF,20241211,40
DEF,20241212,33
DEF,20241213,51
DEF,20241216,59
DEF,20241217,26
DEF,20241219,48
DEF,20241224,25
DEF,20241227,33
DEF,20250106,31
DEF,20250109,44
DEF,20250115,23
DEF,20250116,23
DEF,20250117,53
DEF,20250120,40
DEF,20250121,50
DEF,20250122,28
DEF,20250123,23
DEF,20250206,45
DEF,20250212,19
DEF,20250214,96
DEF,20250220,58
DEF,20250221,58
DEF,20250225,51
DEF,20250226,109
DEF,20250227,48
DEF,20250228,78
DEF,20250303,63
DEF,20250304,61
DEF,20250305,106
DEF,20250306,95
DEF,20250307,68
DEF,20250311,37
DEF,20250312,52
DEF,20250317,35
DEF,20250319,41
DEF,20250321,51
DEF,20250324,34
DEF,20250325,44
DEF,20250327,46
DEF,20250331,36
DEF,20250402,21
