日付,実測値,予測値,予測値下限,予測値上限,効果,効果下限,効果上限,累積実測値,累積予測値,累積予測値下限,累積予測値上限,累積効果,累積効果下限,累積効果上限
date,y,preds,preds_lower,preds_upper,point_effects,point_effects_lower,point_effects_upper,post_cum_y,post_cum_pred,post_cum_pred_lower,post_cum_pred_upper,post_cum_effects,post_cum_effects_lower,post_cum_effects_upper
2020/06/01,339.0,277.4154143615273,49.34835584441845,505.48247287863626,61.584585638472674,-166.48247287863626,289.65164415558155,,,,,,,
2020/07/01,357.0,158.18052346801576,-69.81788157205406,386.17892850808556,198.81947653198424,-29.178928508085562,426.81788157205403,,,,,,,
2020/08/01,175.0,218.5034041294904,-9.430053063336146,446.436861322317,-43.503404129490406,-271.436861322317,184.43005306333615,,,,,,,
2020/09/01,522.0,321.6081861585984,93.73624228823262,549.4801300289641,200.39181384140159,-27.48013002896414,428.26375771176737,,,,,,,
2020/10/01,543.0,264.2861189417592,36.47249933086189,492.0997385526565,278.7138810582408,50.900261447343496,506.52750066913813,,,,,,,
2020/11/01,401.0,197.75021168187322,-30.008049949493,425.5084733132395,203.24978831812678,-24.508473313239506,431.008049949493,,,,,,,
2020/12/01,354.0,216.76579613049725,-10.939871134533632,444.4714633955282,137.23420386950275,-90.47146339552819,364.93987113453363,,,,,,,
2021/01/01,229.0,163.15881548928726,-64.49683624960429,390.81446722817884,65.84118451071274,-161.81446722817884,293.49683624960426,,,,,,,
2021/02/01,169.0,186.30546284980116,-41.30258338971902,413.91350908932134,-17.30546284980116,-244.91350908932134,210.30258338971902,,,,,,,
2021/03/01,344.0,233.15890246569538,5.596206241140777,460.72159869024995,110.84109753430462,-116.72159869024995,338.40379375885925,,,,,,,
2021/04/01,158.0,222.55497303433353,-4.964486909874182,450.07443297854127,-64.55497303433353,-292.07443297854127,162.96448690987418,,,,,,,
2021/05/01,224.0,172.4062232506912,-55.07198389224416,399.88443039362653,51.5937767493088,-175.88443039362653,279.07198389224413,,,,,,,
2021/06/01,294.0,197.9087546426738,-29.530063273486263,425.34757255883386,96.09124535732619,-131.34757255883386,323.53006327348623,,,,,,,
2021/07/01,329.0,222.30612694455755,-5.095054756310418,449.70730864542554,106.69387305544245,-120.70730864542554,334.09505475631045,,,,,,,
2021/08/01,136.0,199.6401124999471,-27.725083882192422,427.00530888208664,-63.640112499947094,-291.00530888208664,163.72508388219242,,,,,,,
2021/09/01,66.0,231.61828209284906,4.2875145924782885,458.9490495932198,-165.61828209284906,-392.9490495932198,61.71248540752171,,,,,,,
2021/10/01,232.0,195.3896687493285,-31.90813879686172,422.68747629551876,36.61033125067149,-190.68747629551876,263.90813879686175,,,,,,,
2021/11/01,258.0,223.27478453840354,-3.991450793554776,450.5410198703618,34.72521546159646,-192.54101987036182,261.9914507935548,,,,,,,
2021/12/01,73.0,200.36843746668666,-26.86753796362993,427.6044128970033,-127.36843746668666,-354.6044128970033,99.86753796362993,,,,,,,
2022/01/01,95.0,164.3707056168796,-62.83625205470824,391.5776632884675,-69.3707056168796,-296.5776632884675,157.83625205470824,,,,,,,
2022/02/01,118.0,209.52541635919343,-17.653700333758906,436.70453305214585,-91.52541635919343,-318.70453305214585,135.6537003337589,,,,,,,
2022/03/01,127.0,199.33701702281257,-27.815374510470093,426.4894085560952,-72.33701702281257,-299.4894085560952,154.8153745104701,,,,,,,
2022/04/01,208.0,181.21141480934637,-45.91531045898469,408.33814007767745,26.788585190653635,-200.33814007767745,253.9153104589847,,,,,,,
2022/05/01,208.0,231.7869202055162,4.684855523859653,458.88898488717274,-23.786920205516196,-250.88898488717274,203.31514447614035,,,,,,,
2022/06/01,199.0,147.2159765956996,-79.8623833715724,374.2943365629717,51.7840234043004,-175.2943365629717,278.8623833715724,,,,,,,
